ticker,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda
AAWW,2020-06-30,USD,5816750000,1156207000,726402000,726402000,None,239051000,4660543000,4007941000,1068347000,73841000,73841000,73841000,None,None,0,190754000,None,3886383000,1145307000,73812000,38437000,275017000,418242000,2741076000,465675000,1850350000,275017000,None,1850350000,481939000,68160000,1930367000,217711000,1349108000,315000,26135945,488543000,None,None,None,-21627000,83157000,16804000,-35266000,None,78912000,-50723000,65739000,None,0,0,None,None,None,None,None,0,None,0,None,78912000,None,78912000,520872000,825253000,304381000,59954000,120662000,34627000,None,104548000,224000,-28818000,224000,28818000,-76000,50598000,83157000,83157000,111921000,33009000,28892000,78912000,79138000,120662000,223896000
AAWW,2020-03-31,USD,5405612000,697560000,225160000,225160000,None,274202000,4708052000,4032435000,1026946000,75348000,75348000,75348000,None,None,0,198198000,None,3572862000,964205000,91092000,30582000,283066000,425734000,2608657000,500201000,1947178000,283066000,None,1947178000,416797000,21991000,1832750000,217705000,1270196000,315000,26126232,71847000,None,None,-40393000,-11039000,74350000,8291000,-16515000,None,23353000,10700000,39642000,None,3834000,3834000,None,None,None,None,None,75000000,None,-3834000,None,122189000,None,23353000,397478000,643502000,246024000,55368000,61070000,42391000,None,87234000,480000,-29082000,480000,29082000,6717000,-1206000,74352000,74352000,32186000,8833000,29082000,23353000,23598000,61070000,135620000
AAWW,2019-12-31,USD,5385641000,632531000,103029000,103908000,17900000,290119000,4791483000,4053226000,977883000,76856000,76856000,40361000,None,None,879000,238504000,None,3593462000,1099162000,79683000,26357000,395781000,537754000,2494300000,29625000,2340172000,384895000,1955277000,2340172000,455368000,42526000,1792179000,213871000,1246843000,310000,25870876,107054000,45459000,None,-58823000,21510000,82605000,25960000,23921000,None,-410245000,-76961000,2634000,None,34000,34000,None,None,None,None,None,50000000,None,-34000,None,-410245000,None,-410245000,-616200000,747049000,616200000,287909000,-515936000,48698000,None,616200000,321000,-30924000,321000,30924000,-5309000,27072000,75537000,7075000,-521818000,-111573000,30924000,-410245000,-410245000,-515936000,-483819000
AAWW,2019-09-30,USD,5969234000,430089000,70327000,72456000,None,264752000,5580390000,4533621000,1020278000,81590000,81590000,81590000,None,None,2129000,92881000,None,3775942000,1096713000,90850000,41808000,341807000,483169000,2679229000,29816000,0,330408000,None,2514811000,480886000,33529000,2193292000,213837000,1657088000,310000,25867423,84293000,None,None,51092000,44048000,636000,30840000,-1371000,None,59974000,-80331000,-44017000,None,109000,109000,None,None,None,None,None,0,None,-109000,None,59974000,None,59974000,361303000,648539000,287236000,72318000,-879000,49110000,None,123425000,653000,-30644000,653000,30644000,-559000,-1434000,83464000,636000,51692000,-8282000,31203000,59974000,60227000,-879000,82972000
AAWW,2019-06-30,USD,5985342000,475300000,110665000,117818000,None,265489000,4971411000,4510287000,954100000,83162000,83162000,83162000,None,None,7153000,91993000,None,3858233000,966654000,66441000,None,268686000,414777000,2891579000,29998000,50000000,268006000,None,50000000,459328000,124922000,2127109000,213728000,1597114000,310000,25854140,55228000,None,None,-20091000,-8814000,79167000,46170000,9660000,None,86868000,-83647000,-15327000,None,38000,38000,None,None,None,None,None,0,None,-38000,None,86868000,None,86868000,431756000,663918000,232162000,40335000,8970000,46374000,None,105338000,1278000,-29418000,1278000,29418000,0,-945000,78832000,78832000,22185000,-64683000,29418000,86868000,87125000,8970000,130435000
AAWW,2019-03-31,USD,6015468000,552532000,154466000,165891000,None,255100000,4894543000,4440686000,903564000,84731000,84731000,84731000,None,None,11425000,131541000,None,3980519000,936686000,69383000,None,266230000,409831000,3043833000,30187000,1980135000,265578000,None,1980135000,441129000,165293000,2034949000,213690000,1510246000,310000,25850498,53769000,None,None,-19985000,32623000,78861000,30584000,-9686000,None,-29710000,-44822000,-77184000,None,9189000,9189000,None,None,None,None,None,0,None,-9189000,None,-68237000,None,-29710000,444765000,679683000,234918000,41888000,46874000,45029000,None,98683000,2044000,-29890000,27846000,29890000,-245000,2975000,78988000,78988000,-24817000,4893000,30135000,-29710000,-29447000,46874000,84061000
AAWW,2018-12-31,USD,5534792000,629831000,221501000,237125000,16400000,269320000,4904961000,4462235000,860354000,97689000,97689000,40361000,635000,635000,15624000,123386000,None,3466828000,817733000,87229000,26584000,295837000,31002000,2649095000,None,2438838000,264835000,2174003000,2469840000,439085000,187120000,2067964000,204501000,1539956000,306000,25590293,161457000,None,None,16136000,37578000,84502000,29596000,14980000,None,210974000,-82562000,-72309000,None,0,0,None,None,None,None,None,0,None,0,None,210974000,None,210974000,266212000,764958000,498746000,239266000,127557000,106327000,None,167825000,2006000,-31347000,None,31347000,0,-118000,75871000,75871000,232873000,21899000,31347000,211004000,210974000,127557000,340091000
AAWW,2018-09-30,USD,5477039000,600647000,214961000,233472000,None,254425000,4876392000,4450070000,821203000,99860000,99860000,99860000,1722000,1722000,18511000,112750000,None,3625254000,819951000,81682000,None,256184000,256184000,2805303000,None,0,256184000,None,2536974000,445400000,292840000,1851785000,204501000,1328982000,306000,25590293,88212000,None,None,46817000,55027000,67869000,30028000,31359000,None,71131000,-120920000,30934000,None,450000,450000,None,None,None,None,None,0,None,-450000,None,71138000,None,71131000,435919000,656607000,220688000,39973000,54470000,41605000,None,88688000,1592000,-29995000,None,29995000,0,-975000,68076000,68076000,71165000,34000,29995000,71138000,71413000,54470000,169236000
AAWW,2018-06-30,USD,5348343000,565191000,216762000,234280000,None,221392000,4783152000,4401555000,775605000,102050000,102050000,102050000,6570000,6570000,17518000,109519000,None,3572270000,787070000,84353000,None,245322000,245322000,2785200000,None,0,245322000,None,2501488000,435847000,299771000,1776073000,204051000,1257851000,306000,25575041,106786000,None,None,25336000,34114000,61568000,28700000,24285000,None,-21150000,-236591000,227330000,None,101000,101000,None,None,None,None,None,60000000,None,-101000,None,-21123000,None,-21150000,444716000,666145000,221429000,40281000,60946000,42358000,None,99066000,1388000,-27717000,None,27717000,0,7277000,61810000,61810000,-8164000,12986000,27717000,-21123000,-20905000,60946000,81363000
AAWW,2018-03-31,USD,5016832000,433193000,119294000,136421000,None,195117000,4583639000,4234085000,739778000,104259000,104259000,104259000,10680000,10680000,17127000,101655000,None,3224534000,743787000,90333000,19214000,223308000,223308000,2480746000,None,1863095000,223308000,None,2270870000,410932000,215961000,1792298000,203950000,1279002000,305000,25560678,69125000,None,None,-15979000,4400000,59526000,26091000,3414000,None,9612000,-261189000,30604000,None,10218000,10218000,None,None,None,None,None,75000000,None,-10218000,None,-161460000,None,9612000,250782000,590014000,339232000,174033000,40569000,164929000,None,717438000,1724000,-25592000,None,25592000,0,4475000,59796000,59796000,13420000,3808000,25592000,9628000,9940000,40569000,98808000
ABCB,2022-12-31,USD,25053286000,1118132000,1118132000,1118132000,None,None,1504656000,220283000,112817000,1228040000,212394000,1015646000,1116636000,1745916000,1500060000,None,None,21855886000,263000000,None,None,None,0,None,None,128322000,None,None,128322000,258400000,None,3197400000,74826000,1311258000,72264000,69137000,-316000,741102000,575737000,None,128874000,16159000,2261000,None,None,82221000,-1348594000,1135874000,0,None,0,0,10383000,10383000,None,0,None,None,475000,None,None,None,82221000,76888000,239595000,162707000,None,-23026000,52348000,None,65504000,None,224137000,273642000,49505000,48348000,None,4592000,4709000,104534000,22313000,49505000,82221000,86448000,154039000,158748000
ABCB,2022-09-30,USD,23813657000,269193000,269193000,269193000,903000,None,1356668000,222694000,None,1133974000,110903000,1023071000,779819000,358547000,1255149000,297987000,None,20694587000,19466919000,None,None,None,0,1227668000,None,127823000,None,None,127823000,19466919000,374181000,3119070000,74826000,1239477000,72247000,69125000,348921000,877448000,1087961000,None,-229081000,4710000,3115000,None,None,92555000,-1395014000,70425000,-953000,None,139000,0,10384000,10384000,None,0,None,None,-139000,None,-975668000,None,92555000,103615000,260653000,157038000,None,24858000,28551000,None,42874000,None,212981000,234302000,21321000,65324000,None,4617000,4710000,121075000,28520000,21321000,92555000,54456000,142396000,147106000
ABCB,2022-06-30,USD,23687470000,345627000,345627000,345627000,957000,None,1362918000,224249000,None,1138669000,115613000,1023056000,1214257000,1213422000,1052268000,1961209000,None,20614094000,953000,None,None,953000,953000,552917000,None,127325000,None,None,128278000,258400000,376195000,3073376000,74687000,1157359000,72251000,69136000,353445000,1199989000,1378128000,None,-192589000,5144000,4642000,None,None,90066000,-1925895000,80826000,-1112000,None,5048000,0,10398000,10398000,None,0,None,None,-4169000,None,-1491624000,None,90066000,104940000,260281000,155341000,None,26103000,28023000,None,43087000,None,191364000,202568000,11204000,83841000,None,4638000,5144000,118085000,28019000,11204000,90066000,79272000,129289000,134433000
ABCB,2022-03-31,USD,23560292000,257316000,257316000,257316000,2049000,None,1367395000,224293000,None,1143102000,120757000,1022345000,721963000,720053000,579204000,3541144000,None,20553133000,2065000,None,None,2065000,2065000,552347000,None,126827000,None,None,128892000,19588441000,412345000,3007159000,69639000,1077725000,72212000,69346000,360423000,1229793000,1475240000,None,-254469000,12638000,3550000,None,None,81698000,-205027000,-421593000,-3780000,None,17234000,0,10445000,10445000,None,0,None,None,-15789000,None,-266197000,None,81698000,112182000,253224000,141042000,None,36555000,27287000,None,41424000,None,172544000,183374000,10830000,86911000,None,4553000,5181000,109404000,27706000,10830000,81698000,64267000,120234000,125415000
ABCB,2021-12-31,USD,23858321000,4044657000,4044657000,4044657000,3894000,None,1545928000,225400000,100357000,1264458000,251838000,1012620000,720023000,720023000,592621000,20916912000,None,20891870000,5845000,None,None,5845000,5845000,866207000,None,126328000,None,None,132173000,19665553000,360110000,2966451000,52405000,1006436000,72017000,69393000,266693000,1575055000,1722243000,None,-192430000,9890000,3458000,19337000,None,81944000,-480217000,525741000,1343000,None,1331000,0,10444000,10444000,None,0,None,None,-1298000,None,312217000,None,81944000,118965000,245847000,126882000,None,936000,47229000,None,80985000,None,166837000,178365000,11528000,81769000,None,4336000,3387000,107478000,25534000,11528000,81944000,75649000,119006000,122393000
